"id","user_ids","score","rating_id"
1,1,2,8
2,1,4,6
3,1,3,2
4,1,5,1
5,1,5,4
6,1,1,11
7,1,3,5
8,1,5,10
9,2,3,12
10,2,3,11
11,2,5,1
12,2,3,10
13,2,4,5
14,2,3,13
15,2,1,8
16,2,5,2
17,3,2,5
18,3,1,2
19,3,2,9
20,3,5,8
21,3,5,14
22,3,4,4
23,3,4,7
24,3,5,12
25,4,4,12
26,4,4,2
27,4,3,7
28,4,3,1
29,4,2,5
30,4,1,9
31,4,5,13
32,4,5,14
33,5,4,8
34,5,4,11
35,5,1,10
36,5,3,16
37,5,4,9
38,5,2,13
39,5,2,3
40,5,2,1
41,6,1,16
42,6,3,12
43,6,3,9
44,6,2,2
45,6,1,7
46,6,1,3
47,6,2,14
48,6,3,1
49,7,2,4
50,7,5,2
51,7,1,5
52,7,3,10
53,7,4,12
54,7,1,8
55,7,3,6
56,7,2,16
57,8,1,16
58,8,4,2
59,8,5,15
60,8,2,12
61,8,4,6
62,8,1,1
63,8,2,7
64,8,2,5
65,9,5,10
66,9,3,5
67,9,5,3
68,9,5,2
69,9,4,7
70,9,3,12
71,9,4,13
72,9,4,16
73,10,4,13
74,10,1,8
75,10,3,16
76,10,2,9
77,10,2,1
78,10,4,15
79,10,2,14
80,10,1,6
81,11,2,2
82,11,4,14
83,11,3,10
84,11,4,16
85,11,1,9
86,11,3,11
87,11,5,5
88,11,5,3
89,12,5,5
90,12,1,4
91,12,1,8
92,12,4,10
93,12,2,9
94,12,4,7
95,12,2,12
96,12,1,11
97,13,4,1
98,13,1,6
99,13,3,16
100,13,3,11
101,13,3,12
102,13,2,15
103,13,3,9
104,13,5,13
105,14,3,11
106,14,5,8
107,14,5,16
108,14,4,12
109,14,3,10
110,14,1,1
111,14,5,14
112,14,2,13
113,15,1,14
114,15,5,9
115,15,4,5
116,15,1,13
117,15,3,8
118,15,5,6
119,15,3,4
120,15,3,3
121,16,4,13
122,16,2,1
123,16,2,6
124,16,2,12
125,16,2,9
126,16,5,8
127,16,1,4
128,16,1,5
129,17,1,3
130,17,4,12
131,17,4,13
132,17,5,16
133,17,4,10
134,17,4,7
135,17,3,15
136,17,4,2
137,18,5,9
138,18,4,14
139,18,5,13
140,18,3,1
141,18,2,12
142,18,3,6
143,18,1,4
144,18,1,10
145,19,5,2
146,19,2,3
147,19,2,6
148,19,1,5
149,19,2,13
150,19,4,4
151,19,5,14
152,19,3,16
153,20,2,16
154,20,2,1
155,20,1,6
156,20,2,13
157,20,3,8
158,20,2,15
159,20,3,5
160,20,2,4
161,21,3,9
162,21,2,7
163,21,4,16
164,21,2,2
165,21,2,11
166,21,3,15
167,21,4,6
168,21,2,13
169,22,3,13
170,22,2,8
171,22,4,11
172,22,1,1
173,22,5,10
174,22,4,3
175,22,4,14
176,22,4,6
177,23,2,16
178,23,3,1
179,23,5,5
180,23,3,6
181,23,5,13
182,23,2,8
183,23,4,10
184,23,2,12
185,24,3,15
186,24,3,12
187,24,2,2
188,24,3,14
189,24,5,3
190,24,5,5
191,24,2,1
192,24,2,16
193,25,5,10
194,25,4,7
195,25,5,8
196,25,3,11
197,25,3,14
198,25,4,5
199,25,1,12
200,25,3,1
201,26,2,5
202,26,5,9
203,26,4,3
204,26,3,12
205,26,3,11
206,26,5,6
207,26,2,8
208,26,2,14
209,27,1,2
210,27,1,7
211,27,3,15
212,27,2,5
213,27,2,3
214,27,4,6
215,27,1,1
216,27,4,14
217,28,2,9
218,28,3,10
219,28,5,7
220,28,5,4
221,28,2,6
222,28,5,16
223,28,4,12
224,28,4,13
225,29,1,13
226,29,2,5
227,29,3,9
228,29,3,6
229,29,4,4
230,29,5,7
231,29,4,3
232,29,3,15
233,30,3,8
234,30,1,2
235,30,2,9
236,30,2,16
237,30,1,15
238,30,5,7
239,30,1,5
240,30,5,10
241,31,3,14
242,31,4,11
243,31,1,7
244,31,4,16
245,31,2,3
246,31,4,1
247,31,2,4
248,31,5,15
249,32,5,14
250,32,4,15
251,32,2,10
252,32,2,11
253,32,3,13
254,32,2,6
255,32,3,12
256,32,4,3
257,33,1,11
258,33,3,4
259,33,3,5
260,33,5,10
261,33,5,9
262,33,5,2
263,33,4,15
264,33,5,13
265,34,3,2
266,34,3,11
267,34,2,8
268,34,2,16
269,34,1,12
270,34,3,7
271,34,5,14
272,34,1,10
273,35,1,15
274,35,1,13
275,35,4,9
276,35,4,14
277,35,5,4
278,35,3,1
279,35,1,5
280,35,4,12
281,36,4,7
282,36,1,3
283,36,2,5
284,36,2,6
285,36,1,10
286,36,2,15
287,36,1,2
288,36,2,1
289,37,1,13
290,37,4,8
291,37,2,12
292,37,1,2
293,37,1,16
294,37,5,14
295,37,4,15
296,37,5,7
297,38,5,16
298,38,1,10
299,38,1,5
300,38,4,3
301,38,4,15
302,38,1,9
303,38,4,13
304,38,4,7
305,39,4,14
306,39,3,8
307,39,1,9
308,39,1,13
309,39,3,12
310,39,3,15
311,39,2,1
312,39,3,11
313,40,4,8
314,40,1,6
315,40,2,5
316,40,5,4
317,40,5,15
318,40,2,11
319,40,2,3
320,40,5,12
321,41,5,4
322,41,2,3
323,41,1,11
324,41,4,5
325,41,1,2
326,41,1,1
327,41,5,10
328,41,1,6
329,42,2,2
330,42,5,9
331,42,4,8
332,42,2,11
333,42,4,15
334,42,5,7
335,42,2,14
336,42,3,13
337,43,4,7
338,43,4,5
339,43,4,8
340,43,5,4
341,43,3,10
342,43,1,15
343,43,3,1
344,43,2,9
345,44,3,4
346,44,2,7
347,44,5,9
348,44,2,14
349,44,2,16
350,44,4,2
351,44,1,10
352,44,5,6
353,45,3,12
354,45,1,14
355,45,4,8
356,45,5,5
357,45,4,1
358,45,3,10
359,45,2,6
360,45,5,2
361,46,1,7
362,46,1,4
363,46,5,16
364,46,2,15
365,46,2,2
366,46,4,1
367,46,1,14
368,46,1,3
369,47,3,3
370,47,3,15
371,47,3,6
372,47,2,14
373,47,5,8
374,47,3,11
375,47,3,16
376,47,5,5
377,48,4,12
378,48,2,6
379,48,2,2
380,48,5,9
381,48,3,1
382,48,4,3
383,48,2,7
